Time_Point_hpi,Treatment,Cell_ID,RI,Gradient,Blebbing cells number,,,Gradient,Normalized Gradient
4,VACV_H4,10,1.33671,0.0022486,1,,,0.0022486,1.116299482
6,VACV_H4,1,1.33911,0.00271121,1,,9,0.00271121,1.345958515
6,VACV_H4,2,1.33832,0.00198996,1,,,0.00198996,0.9878997227
6,VACV_H4,3,1.341,0.00472815,1,,,0.00472815,2.347252243
6,VACV_H4,4,1.33844,0.00206092,1,,,0.00206092,1.023127247
6,VACV_H4,5,1.33839,0.00234813,1,,,0.00234813,1.165710354
6,VACV_H4,6,1.33857,0.00321529,1,,,0.00321529,1.596204999
6,VACV_H4,7,1.33915,0.00378535,1,,,0.00378535,1.879206725
6,VACV_H4,8,1.33914,0.00400814,1,,,0.00400814,1.989809039
6,VACV_H4,9,1.33847,0.00347506,0,,,0.00347506,1.725165737
6,VACV_H4,10,1.33889,0.00423453,1,,,0.00423453,2.102198543
8,VACV_H4,1,1.34139,0.0041163,1,,10,0.0041163,2.043504205
8,VACV_H4,2,1.34122,0.00436974,1,,,0.00436974,2.169322466
8,VACV_H4,3,1.34136,0.00430029,1,,,0.00430029,2.134844569
8,VACV_H4,4,1.34242,0.00457021,1,,,0.00457021,2.268844194
8,VACV_H4,5,1.34319,0.00511884,1,,,0.00511884,2.541207168
8,VACV_H4,6,1.33886,0.00447322,1,,,0.00447322,2.220694284
8,VACV_H4,7,1.33888,0.0046569,1,,,0.0046569,2.311880751
8,VACV_H4,8,1.33835,0.0047587,1,,,0.0047587,2.362418546
8,VACV_H4,9,1.33913,0.00533642,1,,,0.00533642,2.649223019
8,VACV_H4,10,1.33945,0.00558799,1,,,0.00558799,2.774112933
0,VACV_AraC,1,1.33921,0.00329222,0,,0,0.00329222,0.974770469
0,VACV_AraC,2,1.33948,0.00337304,0,,,0.00337304,0.9986998994
0,VACV_AraC,3,1.33939,0.0035621,0,,,0.0035621,1.054677357
0,VACV_AraC,4,1.33954,0.00342331,0,,,0.00342331,1.013583993
0,VACV_AraC,5,1.33951,0.0033189,0,,,0.0033189,0.9826699642
0,VACV_AraC,6,1.33913,0.00362235,0,,,0.00362235,1.072516359
0,VACV_AraC,7,1.33924,0.0035011,0,,,0.0035011,1.036616292
0,VACV_AraC,8,1.33935,0.00345438,0,,,0.00345438,1.022783293
0,VACV_AraC,9,1.33921,0.00296748,0,,,0.00296748,0.8786204663
0,VACV_AraC,10,1.3392,0.00325943,0,,,0.00325943,0.9650619065
2,VACV_AraC,1,1.34021,0.00398352,2,,10,0.00398352,1.179452667
2,VACV_AraC,2,1.33979,0.00325699,1,,,0.00325699,0.9643394639
2,VACV_AraC,3,1.34076,0.00389073,1,,,0.00389073,1.151979123
2,VACV_AraC,4,1.33983,0.00337931,1,,,0.00337931,1.00055634
2,VACV_AraC,5,1.33956,0.00365683,1,,,0.00365683,1.082725302
2,VACV_AraC,6,1.33926,0.00345832,0,,,0.00345832,1.02394986
2,VACV_AraC,7,1.33947,0.00345212,1,,,0.00345212,1.022114145
2,VACV_AraC,8,1.33913,0.00312022,1,,,0.00312022,0.9238441881
2,VACV_AraC,9,1.34035,0.00407041,1,,,0.00407041,1.205179321
2,VACV_AraC,10,1.33925,0.00308993,1,,,0.00308993,0.9148758331
4,VACV_AraC,1,1.34046,0.00388267,1,,13,0.00388267,1.149592693
4,VACV_AraC,2,1.33956,0.00308623,1,,,0.00308623,0.9137803259
4,VACV_AraC,3,1.33994,0.00323947,1,,,0.00323947,0.9591520893
4,VACV_AraC,4,1.34006,0.00323009,1,,,0.00323009,0.9563748305
4,VACV_AraC,5,1.34031,0.00378493,2,,,0.00378493,1.120653538
4,VACV_AraC,6,1.34097,0.00443847,1,,,0.00443847,1.314155641
4,VACV_AraC,7,1.34074,0.00389222,2,,,0.00389222,1.152420286
4,VACV_AraC,8,1.34067,0.00421645,2,,,0.00421645,1.248419287
4,VACV_AraC,9,1.33951,0.00333686,1,,,0.00333686,0.9879876154
